Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Average Cost Paid,Quantity,Market Price (As of 2025-03-23),Watchlist,Date Added
Main,Pokemon,Diamond and Pearl,Azurill,69,Common,Normal,Ungraded,0.0000,1,0.8049,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Beautifly,19,Rare,Reverse Holofoil,Ungraded,0.0000,1,1.2509,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Double Full Heal,105,Uncommon,Normal,Ungraded,0.0000,2,0.1196,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Energy Search,117,Common,Normal,Ungraded,0.0000,3,0.0761,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Floatzel,26,Rare,Normal,Ungraded,0.0000,1,0.7505,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Gastly,82,Common,Normal,Ungraded,0.0000,1,0.2719,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Munchlax,33,Rare,Normal,Ungraded,0.0000,1,1.9470,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Onix,92,Common,Normal,Ungraded,0.0000,1,0.2284,false,2025-03-21
Main,Pokemon,Diamond and Pearl,PlusPower,109,Uncommon,Normal,Ungraded,0.0000,1,0.1305,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Pokedex (HANDY910is),111,Uncommon,Normal,Ungraded,0.0000,1,0.1305,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Ponyta,94,Common,Normal,Ungraded,0.0000,1,0.0870,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Prinplup,58,Uncommon,Normal,Ungraded,0.0000,1,0.3046,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Staraptor,16,Holo Rare,Holofoil,Ungraded,0.0000,1,3.6112,false,2025-03-20
Main,Pokemon,Diamond and Pearl,Staraptor,16,Holo Rare,Reverse Holofoil,Ungraded,0.0000,1,1.1856,false,2025-03-18
Main,Pokemon,Diamond and Pearl,Staravia,64,Uncommon,Normal,Ungraded,0.0000,1,0.2175,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Switch,119,Common,Normal,Ungraded,0.0000,1,0.5982,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Unown [A],65,Uncommon,Normal,Ungraded,0.0000,1,0.7288,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Unown [B],66,Uncommon,Normal,Ungraded,0.0000,1,0.4351,false,2025-03-21
Main,Pokemon,Diamond and Pearl,Unown [C],67,Uncommon,Normal,Ungraded,0.0000,1,0.5221,false,2025-03-21
Main,Pokemon,Diamond and Pearl Promos,Darkrai (DP24),DP24,Holo Rare,Holofoil,Ungraded,0.0000,1,10.7200,false,2025-03-20
Main,Pokemon,Diamond and Pearl Promos,Heatran Lv.X,DP31,Holo Rare,Holofoil,Ungraded,0.0000,1,13.8100,false,2025-03-20
Main,Pokemon,EX Crystal Guardians,Aron,44,Common,Normal,Ungraded,0.0000,1,0.3589,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Charmander,48,Common,Normal,Ungraded,0.0000,1,1.6751,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Crystal Shard,76,Uncommon,Normal,Ungraded,0.0000,1,1.0007,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Diglett,50,Common,Normal,Ungraded,0.0000,1,0.2393,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Electrike,52,Common,Normal,Ungraded,0.0000,1,0.3046,false,2025-03-20
Main,Pokemon,EX Crystal Guardians,Grovyle,32,Uncommon,Normal,Ungraded,0.0000,1,0.4568,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Igglybuff,21,Rare,Normal,Ungraded,0.0000,1,0.9681,false,2025-03-21
Main,Pokemon,EX Crystal Guardians,Ivysaur (35),35,Uncommon,Normal,Ungraded,0.0000,1,5.2537,false,2025-03-21
